% nodeID, nodeType, latDeg, lonDeg, altMeters, parcelWtLbs 
0, 0, 47.630017, -122.361826, 0.000000, -1.000000 
1, 1, 47.638784, -122.203969, 0.000000, 5.000000 
2, 1, 47.631264, -122.388832, 0.000000, 5.000000 
3, 1, 47.549817, -122.183574, 0.000000, 100.000000 
4, 1, 47.626541, -122.209733, 0.000000, 5.000000 
5, 1, 47.658522, -122.279440, 0.000000, 4.000000 
6, 1, 47.626874, -122.203239, 0.000000, 100.000000 
7, 1, 47.656661, -122.307640, 0.000000, 1.000000 
8, 1, 47.640681, -122.378193, 0.000000, 3.000000 
9, 1, 47.503820, -122.231231, 0.000000, 1.000000 
10, 1, 47.617940, -122.335074, 0.000000, 3.000000 
