% from location i, to location j, time [sec], distance [meters] 
0, 0, 0.000000, 0.000000 
0, 1, 235.784649, 3071.337734 
0, 2, 255.545778, 3325.338549 
0, 3, 310.756587, 4041.923025 
0, 4, 157.023670, 2044.465284 
0, 5, 433.189472, 6156.180247 
0, 6, 281.820266, 3664.840589 
0, 7, 302.138163, 3930.003697 
0, 8, 42.140952, 550.820045 
1, 0, 235.788574, 3071.388761 
1, 1, 0.000000, 0.000000 
1, 2, 375.600195, 4889.938628 
1, 3, 227.948301, 2969.307984 
1, 4, 227.079533, 2958.255976 
1, 5, 215.832403, 3333.275202 
1, 6, 106.299380, 1386.961742 
1, 7, 407.649350, 5305.541788 
1, 8, 227.868208, 2967.899649 
2, 0, 255.227671, 3321.203151 
2, 1, 375.600195, 4889.938628 
2, 2, 0.000000, 0.000000 
2, 3, 194.340385, 2530.622215 
2, 4, 152.801490, 1990.575725 
2, 5, 337.306488, 4551.777496 
2, 6, 437.587906, 5690.818698 
2, 7, 61.736357, 806.890028 
2, 8, 219.957401, 2862.165280 
3, 0, 310.756587, 4041.923025 
3, 1, 227.948301, 2969.307984 
3, 2, 197.394751, 2569.217956 
3, 3, 0.000000, 0.000000 
3, 4, 155.042780, 2017.728290 
3, 5, 150.686042, 2123.444658 
3, 6, 289.936012, 3770.188053 
3, 7, 214.848450, 2795.080189 
3, 8, 274.613205, 3571.534698 
4, 0, 157.023670, 2044.465284 
4, 1, 227.079533, 2958.255976 
4, 2, 152.801490, 1990.575725 
4, 3, 155.042780, 2017.728290 
4, 4, 0.000000, 0.000000 
4, 5, 281.912895, 4189.669494 
4, 6, 289.067244, 3759.136046 
4, 7, 198.426899, 2582.670192 
4, 8, 120.880288, 1574.076957 
5, 0, 416.662867, 6045.480866 
5, 1, 254.691975, 3381.300385 
5, 2, 268.240581, 4118.100954 
5, 3, 130.972660, 1768.899390 
5, 4, 270.019384, 4139.200326 
5, 5, 0.000000, 0.000000 
5, 6, 292.239858, 5035.272164 
5, 7, 277.371568, 4234.656918 
5, 8, 380.519485, 5575.092540 
6, 0, 279.946950, 3640.665087 
6, 1, 88.470046, 1155.357999 
6, 2, 419.758571, 5459.214955 
6, 3, 272.106678, 3538.584310 
6, 4, 271.237909, 3527.532302 
6, 5, 217.485525, 3890.055963 
6, 6, 0.000000, 0.000000 
6, 7, 451.807726, 5874.818114 
6, 8, 272.026585, 3537.175975 
7, 0, 311.143571, 4049.478101 
7, 1, 408.099053, 5313.792025 
7, 2, 65.923135, 861.318143 
7, 3, 215.298153, 2803.330426 
7, 4, 204.735427, 2666.256970 
7, 5, 327.842063, 5282.805731 
7, 6, 470.086764, 6114.672095 
7, 7, 0.000000, 0.000000 
7, 8, 275.000189, 3579.089775 
8, 0, 42.140952, 550.820045 
8, 1, 230.365500, 3000.364436 
8, 2, 219.957401, 2862.165280 
8, 3, 274.613205, 3571.534698 
8, 4, 120.880288, 1574.076957 
8, 5, 403.066482, 5764.057022 
8, 6, 291.362038, 3788.359261 
8, 7, 265.994781, 3459.615370 
8, 8, 0.000000, 0.000000 
