% from location i, to location j, time [sec], distance [meters] 
0, 0, 0.000000, 0.000000 
0, 1, 774.864709, 10085.285564 
0, 2, 608.373469, 10365.972459 
0, 3, 493.557461, 6417.918641 
0, 4, 439.811506, 5783.480491 
0, 5, 661.182749, 8597.930927 
0, 6, 775.592053, 10562.905614 
0, 7, 100.529501, 1314.982216 
0, 8, 303.251203, 3943.483945 
0, 9, 438.908824, 5712.081532 
0, 10, 929.364372, 12604.837806 
0, 11, 467.947494, 6380.544521 
0, 12, 351.980548, 4670.638278 
0, 13, 508.769028, 9216.692824 
0, 14, 925.702078, 12041.775610 
0, 15, 401.130393, 6138.955946 
0, 16, 299.435769, 3894.000478 
0, 17, 560.972969, 7293.613809 
0, 18, 729.202772, 11205.372989 
0, 19, 816.064299, 12030.216662 
0, 20, 307.152861, 3995.090152 
0, 21, 535.072783, 8765.887440 
0, 22, 279.836072, 3644.455301 
0, 23, 453.768282, 6788.881863 
0, 24, 546.604760, 8051.745854 
0, 25, 613.928675, 10451.076739 
0, 26, 619.275225, 8057.296048 
0, 27, 289.001895, 3906.596056 
0, 28, 648.542493, 8764.553484 
0, 29, 925.568900, 14817.118041 
0, 30, 542.604527, 7070.936582 
0, 31, 513.998398, 6688.704100 
0, 32, 561.004711, 7295.816718 
0, 33, 364.063415, 4735.378128 
0, 34, 745.662616, 12044.376955 
0, 35, 403.195816, 5244.425456 
0, 36, 559.484235, 7284.766602 
0, 37, 805.186466, 15762.973412 
0, 38, 616.011345, 8316.540607 
0, 39, 632.414967, 10588.554038 
0, 40, 838.783307, 12816.257789 
0, 41, 1047.848112, 15981.429974 
0, 42, 329.394707, 4283.969286 
0, 43, 607.475936, 7902.828210 
0, 44, 449.186330, 5903.484472 
0, 45, 625.192178, 8313.594920 
0, 46, 777.570610, 10750.409604 
0, 47, 643.945371, 8379.047405 
0, 48, 477.721882, 6319.840728 
0, 49, 471.525987, 6132.373430 
0, 50, 470.237505, 8210.702001 
1, 0, 772.901302, 10059.761266 
1, 1, 0.000000, 0.000000 
1, 2, 794.354825, 11350.788604 
1, 3, 460.360760, 5992.706627 
1, 4, 1094.304580, 20730.309642 
1, 5, 635.019400, 8435.709539 
1, 6, 785.490961, 13881.518727 
1, 7, 762.621669, 10764.869137 
1, 8, 757.432152, 10555.167869 
1, 9, 353.370143, 4601.714420 
1, 10, 309.664752, 4586.424445 
1, 11, 955.842946, 18670.274667 
1, 12, 1056.568717, 14537.616055 
1, 13, 975.911480, 16361.040457 
1, 14, 370.378515, 5477.218488 
1, 15, 1050.605336, 17198.129565 
1, 16, 806.144081, 11720.548656 
1, 17, 564.017591, 7339.538993 
1, 18, 1333.146886, 22093.537485 
1, 19, 845.435138, 12629.894622 
1, 20, 589.532740, 7679.409933 
1, 21, 1127.699247, 18186.734163 
1, 22, 772.588122, 11289.572059 
1, 23, 1103.243225, 17848.055482 
1, 24, 742.264344, 9658.679605 
1, 25, 799.910031, 11435.892885 
1, 26, 513.930790, 6767.642903 
1, 27, 974.522810, 15538.215047 
1, 28, 976.130438, 13633.468716 
1, 29, 962.549239, 14157.604804 
1, 30, 496.031716, 6467.502990 
1, 31, 303.100485, 3951.251562 
1, 32, 930.347116, 17372.685546 
1, 33, 470.619473, 6131.874651 
1, 34, 931.643973, 13029.193100 
1, 35, 795.747427, 11054.927971 
1, 36, 675.390249, 9524.780944 
1, 37, 1256.435632, 25942.262060 
1, 38, 887.633089, 12463.185120 
1, 39, 818.396323, 11573.370183 
1, 40, 1442.727421, 23704.422285 
1, 41, 1166.312400, 15899.126128 
1, 42, 507.846271, 6609.775565 
1, 43, 290.839549, 3788.568137 
1, 44, 1087.444368, 20634.194799 
1, 45, 654.563017, 8913.272880 
1, 46, 560.818367, 9616.480899 
1, 47, 194.651956, 2564.177450 
1, 48, 501.624152, 6689.487103 
1, 49, 926.733303, 12056.413644 
1, 50, 937.379956, 15355.049635 
2, 0, 600.431973, 9693.145784 
2, 1, 793.572331, 11340.616182 
2, 2, 0.000000, 0.000000 
2, 3, 872.252187, 15403.299594 
2, 4, 610.700703, 11347.339080 
2, 5, 369.549123, 5143.399898 
2, 6, 411.124566, 5896.132026 
2, 7, 499.325937, 8378.295731 
2, 8, 804.915392, 15152.509275 
2, 9, 496.742478, 7482.560358 
2, 10, 620.574912, 12070.519931 
2, 11, 743.880298, 15469.174094 
2, 12, 664.450947, 11475.581441 
2, 13, 478.895127, 7260.820125 
2, 14, 653.716757, 12464.525498 
2, 15, 531.624697, 9703.842259 
2, 16, 390.353774, 5191.497729 
2, 17, 942.914862, 17954.933549 
2, 18, 814.166247, 14599.250179 
2, 19, 420.666727, 5833.352170 
2, 20, 691.233518, 13050.488193 
2, 21, 626.221004, 9072.050426 
2, 22, 398.036466, 6455.949739 
2, 23, 584.262586, 10353.768176 
2, 24, 924.259564, 17867.975345 
2, 25, 23.469657, 333.916100 
2, 26, 411.583791, 5756.057592 
2, 27, 455.542171, 8043.927740 
2, 28, 291.899052, 3901.500823 
2, 29, 335.109882, 4699.957402 
2, 30, 443.946721, 6562.593417 
2, 31, 828.488265, 14513.595942 
2, 32, 893.626559, 16814.907776 
2, 33, 708.666458, 12956.073395 
2, 34, 233.847165, 3065.078323 
2, 35, 843.230666, 15652.269376 
2, 36, 217.773459, 3088.081343 
2, 37, 874.824438, 18849.347882 
2, 38, 203.401702, 2731.217227 
2, 39, 134.164937, 1841.402290 
2, 40, 923.746782, 16210.134979 
2, 41, 510.460589, 6981.206931 
2, 42, 693.978347, 13085.906109 
2, 43, 876.564999, 15137.509606 
2, 44, 647.329630, 11821.646405 
2, 45, 264.992844, 3782.696744 
2, 46, 471.341140, 8282.131371 
2, 47, 635.070589, 9275.806777 
2, 48, 343.745166, 5348.711190 
2, 49, 271.620618, 3609.500230 
2, 50, 440.363603, 6254.829303 
3, 0, 493.557461, 6417.918641 
3, 1, 455.311088, 5927.060888 
3, 2, 888.974794, 15780.609421 
3, 3, 0.000000, 0.000000 
3, 4, 779.207901, 13854.664648 
3, 5, 870.677826, 11479.536806 
3, 6, 987.678149, 13538.351170 
3, 7, 569.195183, 7400.737455 
3, 8, 411.733560, 5354.059132 
3, 9, 557.583617, 7250.449032 
3, 10, 744.766986, 10244.284314 
3, 11, 640.746267, 11794.629672 
3, 12, 705.780420, 9270.341161 
3, 13, 789.370353, 14631.329786 
3, 14, 805.480749, 11135.078357 
3, 15, 809.818003, 12021.647456 
3, 16, 619.602955, 9990.837984 
3, 17, 117.433232, 1529.429120 
3, 18, 1063.214937, 18941.934613 
3, 19, 1028.150396, 15005.662219 
3, 20, 201.998148, 2635.419691 
3, 21, 941.158120, 16457.023491 
3, 22, 586.046995, 9559.861387 
3, 23, 882.069989, 12888.605452 
3, 24, 326.956595, 4253.638321 
3, 25, 894.530000, 15865.713701 
3, 26, 803.979701, 10532.238195 
3, 27, 719.356773, 9501.514023 
3, 28, 936.741176, 15569.015834 
3, 29, 1145.264497, 16533.372402 
3, 30, 719.812720, 9377.125284 
3, 31, 175.584341, 2285.293760 
3, 32, 615.250436, 10497.040552 
3, 33, 204.114305, 2661.266913 
3, 34, 1026.263941, 17459.013917 
3, 35, 443.958208, 5774.641094 
3, 36, 858.105507, 11900.548542 
3, 37, 941.338952, 19066.617066 
3, 38, 904.210027, 15121.002957 
3, 39, 913.016292, 16003.191000 
3, 40, 1172.795473, 20552.819414 
3, 41, 1328.449438, 21396.066936 
3, 42, 180.578158, 2349.249549 
3, 43, 235.380155, 3061.555469 
3, 44, 772.347689, 13758.549805 
3, 45, 837.278275, 11289.040477 
3, 46, 924.205325, 12481.026865 
3, 47, 611.765168, 7980.608663 
3, 48, 684.339410, 9065.254701 
3, 49, 783.896068, 13284.350640 
3, 50, 750.838830, 13625.338963 
4, 0, 439.811506, 5783.480491 
4, 1, 1066.314667, 20086.582764 
4, 2, 585.466171, 11331.676493 
4, 3, 750.709278, 13518.305641 
4, 4, 0.000000, 0.000000 
4, 5, 781.511712, 15930.697550 
4, 6, 793.381429, 15748.816412 
4, 7, 448.472395, 5895.600468 
4, 8, 442.055280, 5763.240101 
4, 9, 825.188974, 14666.658534 
4, 10, 1002.831775, 21923.204317 
4, 11, 266.923430, 4612.744454 
4, 12, 220.564833, 2882.840892 
4, 13, 538.344967, 10618.249142 
